rule_id,feeds,files,row_class,family,calendar,timezone,frequency,pub_local,pub_offset_bd,pub_basis,query_groups,revision_window_obs,revision_basis,status,notes
GBP_RY,GBP_RY,RY_G8_GBP.csv,feed,BOE-IADB,GB,Europe/London,daily,,1,"DESCONOCIDA; repo T−2 14/14 (IADB, misma hipótesis que SONIA)",EU|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,"Regla con la publicación del proveedor (T−1), no con el retraso observado."
CAD_RY,CAD_RY,RY_G8_CAD.csv,feed,BOC-VALET,CA,America/Toronto,daily,,1,DESCONOCIDA; repo T−1 14/14,US|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
EUR_RY,EUR_RY,RY_G8_EUR.csv,feed,BBK-LINKERS,TARGET,Europe/Berlin,daily,,0,DESCONOCIDA; repo T en la pasada final,EU|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
JPY_RY,JPY_RY,RY_G8_JPY.csv,feed,JSDA,JP,Asia/Tokyo,daily,,0,DESCONOCIDA; repo T en la pasada final,ASIA|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
ACM_TP,ACM_TP_10Y,ACM_TP_10Y.csv,feed,NYFED-ACM,US,America/New_York,daily,,1,DESCONOCIDA; repo T−1 14/14 (el registro decía weekly: se corrige),US|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
NZ_B2,NZD_NOM_RBNZ;NZD_BOND_5Y;NZD_BILL_90D;NZD_IIB_2035,NZD_BILL_30D.csv;NZD_BILL_60D.csv;NZD_BILL_90D.csv;NZD_BOND_1Y.csv;NZD_BOND_2Y.csv;NZD_BOND_5Y.csv;NZD_BOND_10Y.csv;NZD_IIB_2030.csv;NZD_IIB_2035.csv;NZD_IIB_2040.csv;NZD_IIB_2050.csv,feed+input,NZ-B2,NZ,Pacific/Auckland,daily,16:04,1,MEDIDO_DESCARGA (una vez: descarga correcta 24-sep 04:04Z con T−1) — cota superior,MAC,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,La descarga prueba que el dato era accesible a esa hora; la hora real de publicación puede ser anterior.
NZ_CASH,NZD_CASH_ON,NZD_CASH_ON.csv,feed,NZ-B2,NZ,Pacific/Auckland,daily,16:04,2,PROVISIONAL (la columna del cash a veces va un día por detrás en la B2),MAC,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
NZ_IIB_2025,,NZD_IIB_2025.csv,input_ended,NZ-B2,NZ,Pacific/Auckland,ended,,,SERIE TERMINADA (bono vencido sep-2025),MAC,,SIN_DATOS: toda revisión a confirmación,SIN_FRESCURA,
CH_R10,CHF_NOM_SNB,CHF_NOM_10Y.csv,feed,CH-DIARIO,CH,Europe/Zurich,daily,09:01,1,MEDIDO_DESCARGA (varios días: T−1 presente a las 07:00Z (primer minuto del run)) · se asume que el SNB publica en hora de Zúrich,MAC,30,DISEÑO: fetch_chf_snb.py sustituye filas rss por curve al publicarse la curva mensual,PROVISIONAL,
CH_SARON,CHF_SARON,CHF_SARON.csv,feed,CH-DIARIO,CH,Europe/Zurich,daily,09:01,2,PROVISIONAL (una observación: T−2 a las 07:00Z (primer minuto del run)) · se asume que el SNB publica en hora de Zúrich,MAC,30,DISEÑO: SARH rss (2 dec.) → zirepo (6 dec.) semanal,PROVISIONAL,
CH_CURVE,CHF_SPOT_10Y,CHF_SPOT_1Y.csv;CHF_SPOT_2Y.csv;CHF_SPOT_3Y.csv;CHF_SPOT_4Y.csv;CHF_SPOT_5Y.csv;CHF_SPOT_6Y.csv;CHF_SPOT_7Y.csv;CHF_SPOT_8Y.csv;CHF_SPOT_9Y.csv;CHF_SPOT_10Y.csv;CHF_SPOT_20Y.csv;CHF_SPOT_30Y.csv,feed+input,CH-CURVA,CH,Europe/Zurich,monthly:BD1,14:30,0,PROVEEDOR (PublishingDate del cubo: 2026-09-01 14:30),MAC,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,Observación esperada tras el 1.er día hábil: último día del mes anterior. Con MAC2 (17:00) se recoge el mismo día.
ACM_DERIVED,USD_ACM;EUR_ACM;JPY_ACM;GBP_ACM;CAD_ACM;AUD_ACM;NZD_ACM;CHF_ACM,ACM_G8_USD.csv;ACM_G8_EUR.csv;ACM_G8_JPY.csv;ACM_G8_GBP.csv;ACM_G8_CAD.csv;ACM_G8_AUD.csv;ACM_G8_NZD.csv;ACM_G8_CHF.csv,derived,ACM,,UTC,derived,,,DERIVADO: observación esperada = la de su curva de entrada en la pasada FINAL,FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
RY_NZD,NZD_RY,RY_G8_NZD.csv,derived,RY-NZD,NZ,UTC,derived,,,DERIVADO de NZ_B2 (IIB) en FINAL,FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
USD_FACTOR,USD_FACTOR,USD_FACTOR.json,feed,ECB-EXR,TARGET,Europe/Berlin,daily,16:00,0,OFICIAL_GENERAL (tipos de referencia del BCE ~16:00 CET),USDF,,SIN_DATOS: toda revisión a confirmación,OFICIAL_GENERAL,
S01B,S01B,S01B.json,derived,S01B,TARGET,UTC,derived,,,"DERIVADO (acta S01B; F6 pendiente, sin cambios)",FINAL|USDF,,SIN_DATOS: toda revisión a confirmación,EXCLUIDO_DE_CAMBIOS_F6,
COT,POS_COT;CFTC_TFF,pos_g8_cot.json,feed,CFTC,US,America/New_York,weekly:FRI,15:30,0,"OFICIAL_GENERAL (CFTC viernes 15:30 ET, datos del martes)",COT,,SIN_DATOS: toda revisión a confirmación,OFICIAL_GENERAL,CFTC_TFF es alias de configuración de POS_COT (generators/pos_g8.py lo lee): no se borra.
METALS,MFV_STATE;XAU_MFV;XAG_MFV,MFV_G8_state.json;MFV_G8_XAU.csv;MFV_G8_XAG.csv;MFV_G8_walkforward_XAU.csv;MFV_G8_walkforward_XAG.csv,derived,MDP,,UTC,weekly:SAT,,,DERIVADO semanal tras el COT,METALS,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
MANUAL_BE,CHF_BE_MANUAL;NZD_BE_MANUAL,manual/manual_inputs.json,manual,MANUAL,,UTC,event,,,MANUAL: aviso tras la MPA del SNB / encuesta RBNZ (calendario PENDIENTE),,,SIN_DATOS: toda revisión a confirmación,MANUAL,
MIRROR,USD_TP_MIRROR,,on_demand,,,UTC,on_demand,,,BAJO DEMANDA (ninguna sección lo consume),,,SIN_DATOS: toda revisión a confirmación,SIN_FRESCURA,
OPTIONS,OPTIONS_SURFACE,OPTIONS_SURFACE.json,excluded,,,UTC,excluded,,,EXCLUIDO (Databento/opciones CME),,,SIN_DATOS: toda revisión a confirmación,EXCLUIDO,
NOT_INGESTED,RRPONTSYD;SWPT,,not_ingested,,,UTC,none,,,SIN INGESTIÓN (sin referencias fuera del registro),,,SIN_DATOS: toda revisión a confirmación,SIN_FRESCURA,
GOLD_DEMAND,,OFFICIAL_GOLD_DEMAND.csv,input,MDP,,UTC,monthly,,,DESCONOCIDA (insumo de metales),METALS,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
ECB_CACHE,,usd_factor/ecb_rates.csv;usd_factor/canonical.csv,input,ECB-EXR,TARGET,Europe/Berlin,daily,16:00,0,= USD_FACTOR,USDF,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
